"time","series","action","status","source_path","target_path","details"
"2026-04-29 18:32:46","Аладдин","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Аладдин\Сезон 1\Аладдин - S01E31 - Серия 31.ts","","Уже корректно."
"2026-04-29 18:32:46","Аладдин","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Аладдин\Сезон 1\Аладдин - S01E32 - Серия 32.ts","","Уже корректно."
"2026-04-29 18:32:46","Аладдин","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Аладдин\Сезон 1\Аладдин - S01E33 - Серия 33.ts","","Уже корректно."
"2026-04-29 18:32:46","Аладдин","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Аладдин\Сезон 1\Аладдин - S01E34 - Серия 34.ts","","Уже корректно."
"2026-04-29 18:32:46","Аладдин","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Аладдин\Сезон 1\Аладдин - S01E35 - Серия 35.ts","","Уже корректно."
"2026-04-29 18:32:46","Аладдин","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Аладдин\Сезон 1\Аладдин - S01E36 - Серия 36.ts","","Уже корректно."
"2026-04-29 18:32:46","Аладдин","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Аладдин\Сезон 1\Аладдин - S01E37 - Серия 37.ts","","Уже корректно."
"2026-04-29 18:32:46","Аладдин","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Аладдин\Сезон 1\Аладдин - S01E38 - Серия 38.ts","","Уже корректно."
"2026-04-29 18:32:46","Аладдин","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Аладдин\Сезон 1\Аладдин - S01E39 - Серия 39.ts","","Уже корректно."
"2026-04-29 18:32:46","Аладдин","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Аладдин\Сезон 1\Аладдин - S01E40 - Серия 40.ts","","Уже корректно."
"2026-04-29 18:32:46","Аладдин","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Аладдин\Сезон 1\Аладдин - S01E41 - Серия 41.ts","","Уже корректно."
"2026-04-29 18:32:46","Аладдин","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Аладдин\Сезон 1\Аладдин - S01E42 - Серия 42.ts","","Уже корректно."
"2026-04-29 18:32:46","Аладдин","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Аладдин\Сезон 1\Аладдин - S01E43 - Серия 43.ts","","Уже корректно."
"2026-04-29 18:32:46","Аладдин","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Аладдин\Сезон 1\Аладдин - S01E44 - Серия 44.ts","","Уже корректно."
"2026-04-29 18:32:46","Аладдин","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Аладдин\Сезон 1\Аладдин - S01E45 - Серия 45.ts","","Уже корректно."
"2026-04-29 18:32:46","Аладдин","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Аладдин\Сезон 1\Аладдин - S01E46 - Серия 46.ts","","Уже корректно."
"2026-04-29 18:32:46","Аладдин","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Аладдин\Сезон 1\Аладдин - S01E47 - Серия 47.ts","","Уже корректно."
"2026-04-29 18:32:46","Аладдин","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Аладдин\Сезон 1\Аладдин - S01E48 - Серия 48.ts","","Уже корректно."
"2026-04-29 18:32:46","Аладдин","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Аладдин\Сезон 1\Аладдин - S01E49 - Серия 49.ts","","Уже корректно."
"2026-04-29 18:32:46","Аладдин","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Аладдин\Сезон 1\Аладдин - S01E50 - Серия 50.ts","","Уже корректно."
"2026-04-29 18:32:46","Аладдин","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Аладдин\Сезон 1\Аладдин - S01E51 - Серия 51.ts","","Уже корректно."
"2026-04-29 18:32:46","Аладдин","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Аладдин\Сезон 1\Аладдин - S01E52 - Серия 52.ts","","Уже корректно."
"2026-04-29 18:32:46","Аладдин","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Аладдин\Сезон 1\Аладдин - S01E53 - Серия 53.ts","","Уже корректно."
"2026-04-29 18:32:46","Аладдин","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Аладдин\Сезон 1\Аладдин - S01E54 - Серия 54.ts","","Уже корректно."
"2026-04-29 18:32:46","Аладдин","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Аладдин\Сезон 1\Аладдин - S01E55 - Серия 55.ts","","Уже корректно."
"2026-04-29 18:32:46","Аладдин","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Аладдин\Сезон 1\Аладдин - S01E56 - Серия 56.ts","","Уже корректно."
"2026-04-29 18:32:46","Аладдин","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Аладдин\Сезон 1\Аладдин - S01E57 - Серия 57.ts","","Уже корректно."
"2026-04-29 18:32:46","Аладдин","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Аладдин\Сезон 1\Аладдин - S01E58 - Серия 58.ts","","Уже корректно."
"2026-04-29 18:32:46","Аладдин","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Аладдин\Сезон 1\Аладдин - S01E59 - Серия 59.ts","","Уже корректно."
"2026-04-29 18:32:46","Аладдин","skip-file","INFO","\\Emilian_TNAS\emildg8\Video\Мультсериалы\Аладдин\Сезон 1\Аладдин - S01E60 - Серия 60.ts","","Уже корректно."
